customer_id,member_type,region_1,region_2
ef389355f3d9,비회원,부산,서구
763d8a2b34d1,비회원,부산,서구
d692cffbe96d,비회원,경기,화성시
073b81f3480d,비회원,충북,청주시
3f0af5706b7b,비회원,부산,동
5a7d1c89ddec,비회원,부산,남구
835ec68be392,비회원,전북특별자치도,완주군
4308480f1d51,비회원,경남,김해시
8376c17e4f9d,비회원,전남,나주시
0d351c42be6c,비회원,경기,성남시
d75154c66ee7,비회원,충북,청주시
2df6d9592488,비회원,경기,파주시
2375e5c6674b,비회원,경기,고양시
c5c4f37ae758,비회원,경남,김해시
b699339d688d,비회원,서울,관악구
85ea005e707a,비회원,경기,파주시
6d9dca118aad,비회원,광주,북구
754781e8a7bf,비회원,충남,아산시
4dff97bcbc45,비회원,서울,송파구
e9fe63d372e6,비회원,충북,청주시
88f063a64b4b,비회원,경남,창원시
919ff4fd8599,비회원,경기,수원시
28030a486261,비회원,경기,수원시
6717fb401ac4,비회원,경기,용인시
b2aec3054ebe,비회원,대구,북구
33d2d9e9c29d,비회원,울산,남구
1144506dbc72,비회원,세종특별자치시,다정북로
00e461eebc21,비회원,경기,고양시
eb6338a2c0f5,비회원,충북,청주시
2fb450674672,비회원,경북,안동
a41b097511c4,비회원,경기,화성시
2d0be7ca5a65,비회원,부산,해운대구
b1c702e42d8a,비회원,전북특별자치도,김제시
cf6aa0b5dd17,비회원,전남,진도군
96e0e813ab1d,비회원,부산,북구
52df2ac4eacd,비회원,경기,화성시
a9edc20075ea,비회원,경기,파주시
c48ee8d60bbe,비회원,대구,동
193c94ae124c,비회원,서울,성북구
e378c1cafe6b,비회원,충남,서천군
9c7ccfe007b5,비회원,경남,거제시
680e7c4a030f,비회원,대전,유성구
1be8fd1dcd7f,비회원,경기,용인시
6037590c7202,비회원,경남,김해시
660bc951bacc,비회원,충남,천안시
10d810cb454f,비회원,서울,양천구
ce6ef6e752bd,비회원,강원특별자치도,원주시
cc64c1c209cf,비회원,서울,광진구
5bac03c0f2dd,비회원,부산,동
c9b25fc85ffb,비회원,서울,중랑구
f390e24cd4d4,비회원,경남,김해시
07603116aaad,비회원,대구,달성군
59948b9cf045,비회원,서울,양천구
1a277dbcb217,비회원,울산,동
b1c616f863bd,비회원,경기,안양시
8cc346f656f6,비회원,대전,유성구
05c34b52be41,비회원,경남,창원시
99b2270140fb,비회원,충북,청주시
f384faf9ab2a,비회원,인천,남동
4c4c3e8e7667,비회원,경북,구미시
6d3f51335ae6,비회원,인천,계양구
5ae4e24ea0ba,비회원,경기,화성시
d8b662f78fd1,비회원,경기,고양시
c91da30a91a9,비회원,전북특별자치도,전주시
ae715783d06a,비회원,경기,양주시
d8464c4287b1,비회원,제주특별자치도,제주시
bd646adafc26,비회원,경기,화성시
ba5f37a4a7fd,비회원,경기,화성시
0113a65f15d9,비회원,경기,성남시
17f552d1ac8e,비회원,대전,서구
84eedf5f7d3c,비회원,경남,거제시
ff153b9b38d3,비회원,대전,서구
6259b05d3047,비회원,경기,화성시
4678101d2d7e,비회원,대구,동
c426b7601a33,비회원,서울,구로구
b6d1497fee35,비회원,부산,기장군
0d253f8ab09d,비회원,인천,부평구
bcfe24b4e6e6,비회원,경기,광주시
3a12a037bd37,비회원,광주,북구
121dcb4a2a77,비회원,경기,성남시
25ad8804a5ce,비회원,경기,용인시
ea05fbbcf2fd,비회원,경기,용인시
9a7725097a2c,비회원,경남,하동
4b68d97b0ac2,비회원,충남,공주시
14211be397c4,비회원,경북,포항시
3b018d321128,비회원,경기,광명시
daf263b18007,비회원,부산,영도구
34110aabe835,비회원,경기,안산시
6d4c6a608e31,비회원,울산,남구
b69ef7320d88,비회원,경기,안양시
a688cf5c8f42,비회원,경기,오산시
3a874aba0972,비회원,대전,동
c0d16dfd13fa,비회원,경기,평택시
7cb0d345e858,비회원,서울,강서구
bab2485acd75,비회원,경남,김해시
55b15bcbc8cb,비회원,충북,청주시
1c0e12283ea1,비회원,경기,평택시
4ef01baccc66,비회원,충북,청주시
3c71d6d0f4fe,비회원,경기,성남시
cdd317d8cb38,비회원,서울,강북구
09120fe34ce3,비회원,부산,북구
77cca8732448,비회원,경기,광주시
3fdd66fd11f6,비회원,경기,용인시
2b2b29e7b9a9,비회원,전북특별자치도,전주시
3998a7d3baac,비회원,전남,여수시
0f59f67cddb1,비회원,대구,동
2cdecca3d0a5,비회원,강원특별자치도,태백시
f4c20ba87ff7,비회원,경기,수원시
15bbc7f91529,비회원,서울,강동
9e898e2ae9b9,비회원,제주특별자치도,서귀포시
1d0caf370140,비회원,인천,연수구
d2ea7cd9a18c,비회원,인천,미추홀구
b4361aaca7cd,비회원,경기,부천시
13ba4f00a041,비회원,충남,천안시
e077837f192f,비회원,울산,북구
2d92d79e01b9,비회원,충남,천안시
d0dc14bc21f0,비회원,대전,서구
2f72d3de7fe4,비회원,충남,천안시
68ed413b3e6b,비회원,경남,김해시
64a9f31c808c,비회원,부산,서구
6e893b00e5e2,비회원,경기,화성시
7c04cf8d6e05,비회원,경기,화성시
7ea2483187bd,비회원,세종특별자치시,다정중앙로
8c619cb4245f,비회원,전남,목포시
9dcb956d7b6f,비회원,강원특별자치도,춘천시
6ed28402447f,비회원,경북,영주시
4984b1ba3adb,비회원,경기,시흥시
a990bec53440,비회원,충남,논산시
e7d688cb00ec,비회원,경기,수원시
f05c13424ba8,비회원,대구,수성구
cd8065eee250,비회원,강원특별자치도,속초시
1bfe1f082390,비회원,서울,서대문구
677e19ffc46c,비회원,경남,하동
af112b577317,비회원,경기,파주시
0f65cd385bb3,비회원,대전,서구
